id,organisation,website,sector,fund_currency,fund_size_min,fund_size_max,country,type,crawl_urls
1,The Africa Enterprise Challenge Fund (AECF),https://www.aecfafrica.org/,"agriculture, energy",USD,100000,1500000,"Burundi, Burundi and D, Cameroon, D.R. Congo, Ethiopia,Gambia, Ghana, IvoryCoast, Kenya, Kenya & Tanz, Liberia, Malawi, Mali, Mozambique, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Africa, South Sudan, Tanzania, Uganda, Zambia, Zimbabwe",,"https://www.aecfafrica.org/index.php/about-us/who-we-are
https://www.aecfafrica.org/portfolio/agribusiness
https://www.aecfafrica.org/agriculture/Seeds_for_Impact
https://www.aecfafrica.org/index.php/portfolio/renewable-energy
https://www.aecfafrica.org/index.php/portfolio/renewable_energy/react_ssa
https://www.aecfafrica.org/portfolio/renewable-energy/REACT-EEP
https://www.aecfafrica.org/index.php/portfolio/aecf_gender_lens_investment
https://www.aecfafrica.org/index.php/portfolio/competitions
"
2,Alliance for a green revolution in Africa (AGRA),https://agra.org/,agriculture,,,,"Burkina Faso, Ethiopia, ghana, Ghana, Kenya, Malawi, Mali, Mozambique, Nigeria, Rwanda, Tanzania, Uganda",,"https://agra.org/
https://agra.org/our-approach/
https://agra.org/grants/
https://agra.org/country-support-and-delivery/
https://agra.org/program-development-and-innovation/
https://agra.org/policy-and-strategic-partnerships/
https://agra.org/where-we-work/
https://agra.org/piata/
https://agra.org/wp-content/uploads/2017/12/agra-kenya-final.pdf
https://agra.org/wp-content/uploads/2018/01/agra-uganda-final.pdf
https://agra.org/wp-content/uploads/2017/12/agra-tanzania-final.pdf
https://agra.org/wp-content/uploads/2018/01/AGRA-Burkina-Faso-Operational-Plan-_03.11.2017-2.pdf
https://agra.org/wp-content/uploads/2018/01/AGRA-Burkina-Faso-Operational-Plan-_03.11.2017-2.pdf"
3,Global Innovation Fund,https://globalinnovation.fund/,"Agriculture, Democracy, Human Rights, and Governance, Economic Growth and Trade, Education, Energy, Environment, Health, Housing and Infrastructure, Humanitarian Assistance, Water Sanitation and Hygiene (WASH)",USD,50000,15000000,,,"https://globalinnovation.fund/
https://globalinnovation.fund/who-we-are/about-us/
https://globalinnovation.fund/what-we-do/our-approach/
https://globalinnovation.fund/what-we-do/how-we-scale/
https://globalinnovation.fund/what-we-do/stages-of-funding/
https://globalinnovation.fund/what-we-do/types-of-financing/
https://globalinnovation.fund/what-we-do/the-water-innovation-engine/
https://globalinnovation.fund/gif-researchers/
https://globalinnovation.fund/investments/paga/
https://globalinnovation.fund/investments/onlinepajak/
https://globalinnovation.fund/investments/no-means-no-worldwide/
https://globalinnovation.fund/investments/idinsight/
https://globalinnovation.fund/investments/ideas42/
https://globalinnovation.fund/investments/talent-beyond-boundaries/"
4,Acumen Fund,https://acumen.org/,Economic Growth and Trade,USD,0,3000000,"AMERICA, EAST AFRICA, INDIA, LATIN AMERICA, PAKISTAN, WEST AFRICA, LONDON, NEW YORK, SAN FRANCISCO, BOGOTA, ACCRA, KARACHI, MUMBAI, COMPANIES, NAIROBI",,"https://acumen.org/
https://acumen.org/about/
https://acumen.org/manifesto/
https://acumen.org/approach/
https://acumen.org/about/patient-capital/
https://acumen.org/companies/sectors/agriculture/
https://acumen.org/companies/sectors/education/
https://acumen.org/companies/sectors/energy/ 
https://acumen.org/companies/sectors/financial-inclusion/
https://acumen.org/companies/sectors/health/
https://acumen.org/companies/sectors/housing/
https://acumen.org/companies/sectors/water-sanitation/
https://acumen.org/companies/sectors/workforce-development/
https://acumen.org/regions/"
5,Bamboo Loans,https://www.bambooloans.com/,,GBP,1000,8000,,,"https://www.bambooloans.com/s/guarantor-loans/',
'https://www.bambooloans.com/s/unsecured-loans/',
'https://www.bambooloans.com/s/debt-consolidation-loans/',
'https://www.bambooloans.com/s/find-a-guarantor/',



"
6,African Development Fund,https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/,"Agriculture, Democracy, Human Rights, and Governance, Economic Growth and Trade, Education, Energy, Environment, Health, Housing and Infrastructure, Humanitarian Assistance, Water Sanitation and Hygiene (WASH)",,,,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Congo, Democratic Republic of Congo, C�te d�Ivoire Djibouti, Egypt, Eritrea, Equatorial Guinea, eSwatini, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, S�o Tom� & Pr�ncipe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe",,"https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/about-the-adf/',
'https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/adf-recipient-countries/',
'https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/adf-country-resources-allocation/',
'https://www.afdb.org/en/projects-and-operations/financial-products/african-development-fund/debt-sustainability-and-adf-grant-eligibility/',
'https://www.afdb.org/en/projects-and-operations/financial-products/african-development-fund/debt-sustainability-and-adf-grant-eligibility/enhanced-engagement-in-fragile-states/',
'https://www.afdb.org/en/projects-and-operations/financial-products/african-development-fund/debt-sustainability-and-adf-grant-eligibility/non-concessional-debt-accumulation-policy/'"
7,Willow Impact,http://www.willowimpact.com/,"
Education, Health, Agriculture, Democracy, Human Rights, and Governance, Environment",,,,"Dubai, Nairobi",,"http://www.willowimpact.com/impact/',
'http://www.willowimpact.com/impact/impact/impact-assessment.html',
'http://www.willowimpact.com/for-entrepreneurs/',
'http://www.willowimpact.com/about-us/company/policy-and-objectives.html',
'http://www.willowimpact.com/about-us/company/our-business.html'
"
8,Grayghost ventures,http://www.grayghostventures.com,,USD,1000000,5000000,,,"http://www.grayghostventures.com/about/philosophy.html',
'http://www.grayghostventures.com/about/initiatives/impactventures.html',
'http://www.grayghostventures.com/about/history.html',
'http://www.grayghostventures.com/portfolio/portfolioBusinessPlanSubmission.html'"
9,Business/Partners Investing in Entrepreneurs (BPI),https://www.businesspartners.co.za/bpi,finance,USD,0,50000000,,,"https://www.businesspartners.co.za/en-za/finance-solutions/our-products',
'https://www.businesspartners.co.za/en-za/finance-solutions/our-finance-solutions',
'https://www.businesspartners.co.za/en-za/apply/what-you-need-to-apply',

"
10,LGT Venture Philanthropy Foundation,https://www.lgtvp.com/en/,"Agriculture, Education, Energy, Health",,,,"Africa, Asia and Pacific, Europe and Eurasia, Latin America, Caribbean, North America, Middle East and North Africa",,"https://www.lgtvp.com/en/about-us/',
'https://www.lgtvp.com/en/what-we-do/approach/',
'https://www.lgtvp.com/en/what-we-do/impact/',
'https://www.lgtvp.com/en/what-we-do/sectors/',
'https://www.lgtvp.com/en/portfolio/who-we-support/',
'https://www.lgtvp.com/en/portfolio/portfolio-overview/'"
